title,                  url,category
Napakymppi,             http://fi.wikipedia.org/wiki/Napakymppi_(viihdeohjelma),
Suomen surkein kuski,   http://fi.wikipedia.org/wiki/Suomen_surkein_kuski,
Bull,                   http://fi.wikipedia.org/wiki/Bull_(televisiosarja),
Ota rahat ja juokse,    http://fi.wikipedia.org/wiki/Ota_rahat_ja_juokse,
Huomenta Suomi,         http://fi.wikipedia.org/wiki/Huomenta_Suomi,
Mitä tänään syötäisiin?,http://fi.wikipedia.org/wiki/Mitä_tänään_syötäisiin%3F,
Kauniit ja rohkeat,     http://fi.wikipedia.org/wiki/Kauniit_ja_rohkeat,
Emmerdale,              http://fi.wikipedia.org/wiki/Emmerdale,
Kokkisota,              http://fi.wikipedia.org/wiki/Kokkisota,
Yökylässä Maria Veitola,http://fi.wikipedia.org/wiki/Y%C3%B6kyl%C3%A4ss%C3%A4_Maria_Veitola,
Putous,                 http://fi.wikipedia.org/wiki/Putous,
Stadi vs. Lande,        http://fi.wikipedia.org/wiki/Stadi_vs._Lande,
Rimakauhua ja rakkautta,http://fi.wikipedia.org/wiki/Rimakauhua_ja_rakkautta,
Pitääkö olla huolissaan?,http://fi.wikipedia.org/wiki/Pit%C3%A4%C3%A4k%C3%B6_olla_huolissaan%3F,
Nuori MacGyver,         http://fi.wikipedia.org/wiki/Nuori_MacGyver,
Onnela,                 http://fi.wikipedia.org/wiki/Onnela_(televisiosarja),
Salatut elämät,         http://fi.wikipedia.org/wiki/Salatut_el%C3%A4m%C3%A4t,
Voitolla yöhön,         http://fi.wikipedia.org/wiki/Voitolla_y%C3%B6h%C3%B6n_(televisiosarja),
Rikoksista_pahin,       http://fi.wikipedia.org/wiki/Rikoksista_pahin,
Muumilaakson tarinoita, http://fi.wikipedia.org/wiki/Muumilaakson_tarinoita,
Paavo Pesusieni,        http://fi.wikipedia.org/wiki/Paavo_Pesusieni,
Modus,                  http://fi.wikipedia.org/wiki/Modus_(televisiosarja),
Aallonmurtaja,          http://fi.wikipedia.org/wiki/Aallonmurtaja_(televisiosarja),
X Factor Suomi,         http://fi.wikipedia.org/wiki/X_Factor_(Suomi),
112,                    http://fi.wikipedia.org/wiki/112_(televisiosarja),
Kaappaus keittiössä,    https://fi.wikipedia.org/wiki/Kaappaus_keitti%C3%B6ss%C3%A4,
